athlete,country
Ja’Kobe Tharp,USA
Dylan Beard,USA
Sasha Zhoya,FRA
Jason Joseph,SUI
Orlando Bennett,JAM
Grant Holloway,USA
Enrique Llopis,ESP
Demario Prince,JAM
Enzo Diessl,AUT
Lorenzo Ndele Simonelli,ITA
Wilhem Belocian,FRA
Yuanjiang Chen,CHN
Shunsuke Izumiya,JPN
Michael Obasuyi,BEL
Shusei Nomoto,JPN
Tyler Mason,JAM
Job Geerds,NED
Zhuoyi Xu,CHN
Hansle Parchment,JAM
Junxi Liu,CHN
Asier Martínez,ESP
Louis François Mendy,SEN
Erwann Cinna,FRA
Jakub Szymański,POL
John Adesola,RSA
Tade Ojora,GBR
Elie Bacari,BEL
Jeremie Lararaudeuse,MRI
Eduardo Rodrigues,BRA
Saguirou Badamassi,NIG
Antonio Alkana,RSA
Oumar Doudai Abakar,QAT
Damian Czykier,POL
Mondray Barnard,RSA
Manuel Mordi,GER
Gregory Minoue,GER
Thiago Resende Ornelas Dos Santos,BRA
Tejas Shirse,IND
Richard Diawara,MLI
Amine Bouanani,ALG
Usumane Djumo,GBS
Karsten Warholm,NOR
Rai Benjamin,USA
Alison Dos Santos,BRA
Abderrahman Samba,QAT
Ezekiel Nathaniel,NGR
Caleb Dean,USA
Chris Robinson,USA
CJ Allen,USA
Owe Fischer-Breiholz,GER
Roshawn Clarke,JAM
Ismail Doudai Abakar,QAT
Matheus Lima,BRA
Emil Agyekum,GER
Matic Ian Guček,SLO
Malik James-King,JAM
Alastair Chalmers,GBR
İsmail Nezir,TUR
Wiseman Were Mukhobe,KEN
Bassem Hemeida,QAT
Vít Müller,CZE
Assinie Wilson,JAM
Kemorena Tisang,BOT
Seamus Derbyshire,GBR
Alessandro Sibilio,ITA
Jesús David Delgado,ESP
Tyri Donovan,GBR
Ken Toyoda,JPN
Sabelo Dhlamini,RSA
Daiki Ogawa,JPN
Julien Bonvin,SUI
Carl Bengtström,SWE
Berke Akçam,TUR
Dennick Luke,DMA
Marc Anthony Ibrahim,LBN
Oskar Edlund,SWE
Francisco Guilherme Dos Reis Viana,BRA
Patrik Dömötör,SVK
Shunta Inoue,JPN
Joshua Abuaku,GER
Kyron McMaster,IVB
Gerald Drummond,CRC
Victor Ntweng,BOT
Jun Jie Calvin Quek,SGP
Akanye Francis,SKN
Chi Chong Cheong,MAC
Najimul Hossain Roni,BAN
Sanghyeok Woo,KOR
