100 Meters (Men)
Stefano Sottile, ITA, 2.34
Jonathan Kapitolnik, ISR, 2.31
Matteo Sioli, ITA, 2.30
Raymond Richards, JAM, 2.30
Tomohiro Shinno, JPN, 2.31
Donald Thomas, BAH, 2.37
JuVaughn Harrison, USA, 2.36
Tyus Wilson, USA, 2.29
Tobias Potye, GER, 2.34
Thomas Carmoy, BEL, 2.29
Dmytro Nikitin, UKR, 2.28
Juozas Baikštis, LTU, 2.27
Chao-Hsuan Fu, TPE, 2.27
Arvesta Troupe, USA, 2.27 (Alternate)
Shelby McEwen, USA, 2.36
Ryoichi Akamatsu, JPN, 2.31
Romaine Beckford, JAM, 2.30
Sarvesh Anil Kushare, IND, 2.27
Manuel Lando, ITA, 2.26
Marco Fassinotti, ITA, 2.35
Tihomir Ivanov, BUL, 2.31
Yual Reath, AUS, 2.30
Erick Portillo, MEX, 2.28
Vadym Kravchuk, UKR, 2.25
Mateusz Kołodziejski, POL, 2.24
Brandon Starc, AUS, 2.36
Thiago Moura, BRA, 2.31
Edgar Rivera, MEX, 2.31
Luis Castro Rivera, PUR, 2.30
Brian Raats, RSA, 2.26
Gianmarco Tamberi, ITA, 2.39
Roman Anastasios, AUS, 2.25
Mutaz Essa Barshim, QAT, 2.43
Pole Vault (Men)
Armand Duplantis, SWE, 6.29
Emmanouil Karalis, GRE, 6.08
Kurtis Marschall, AUS, 5.95
Menno Vloon, NED, 5.96
Ersu Şaşma, TUR, 5.92
Austin Miller, USA, 5.92
Renaud Lavillenie, FRA, 6.16
Thibaut Collet, FRA, 5.95
Sam Kendricks, USA, 6.06
Sondre Mogens Guttormsen, NOR, 6.00
Bokai Huang, CHN, 5.85
Chenyang Li, CHN, 5.85
Matt Ludwig, USA, 5.90
Ethan Cormont, FRA, 5.82
Valters Kreišs, LAT, 5.82
Ernest John Obiena, PHI, 6.00
Torben Blech, GER, 5.80
Ben Broeders, BEL, 5.80
Oleg Zernikel, GER, 5.75
David Holý, CZE, 5.75
Simen Guttormsen, NOR, 5.75
Piotr Lisek, POL, 5.73
Bo Kanda Lita Baehre, GER, 5.73
Ioannis Rizos, GRE, 5.73
Kyle Rademeyer, RSA, 5.73
Cole Walsh, USA, 5.72 (Alternate)
Hussain Asim Al Hizam, KSA, 5.72
Matteo Oliveri, ITA, 5.71
Matěj Ščerba, CZE, 5.70
Artur Coll, ESP, 5.70
Urho Kujanpää, FIN, 5.70
Márton Böndör, HUN, 5.70
Simone Bertelli, ITA, 5.70
Oleksandr Onufriyev, UKR, 5.70
Tao Zhong, CHN, 5.66
Gillian Ladwig, GER, 5.65
Seifeldin Heneida Abdesalam, QAT, 5.62
Ricardo David Montes, VEN, 5.60
Long Jump (Men)
Miltiadis Tentoglou, GRE, 8.65
